name,rank,charter,consolidated_assets
AUSTIN BK TX NA/JANE AUSTIN CHAPMAN LP ,369,NAT,NA
JEFFERSON BK/JEFFERSON BSHRS ,370,SNM,2407
INVESTAR BK NA/INVESTAR HC ,371,NAT,2406
FIRST FIDELITY BK/FIRST FIDELITY BC ,372,SMB,2406
FIRST BK/ ,373,SNM,2406
FIRST NB/FIRST BC ,374,NAT,2403
STEARNS BK NA/STEARNS FNCL SVC ESOP ,375,NAT,2401
BANK ANN ARBOR/ARBOR BC ,376,SNM,2389
MINNWEST BK/MINNWEST CORP ,377,SNM,2364
NEW MEXICO B&TC/HEARTLAND FNCL USA ,378,SNM,2358
FIRST DAKOTA NB/FIRST DAKOTA FC ,379,NAT,2353
BANTERRA BK/BANTERRA CORP ,380,SNM,2343
ARMSTRONG BK/IRONHORSE FNCL GRP ,381,SNM,2340
EMPRISE BK/EMPRISE FC ,382,SNM,2337
MIDWEST BANKCENTRE/STUPP BROS ,383,SMB,2336
NORTHRIM BK/NORTHRIM BC ,384,SNM,2335
ACADEMY BK NA/DICKINSON FC II ,385,NAT,2327
KS STATEBANK/MANHATTAN BC ,386,SNM,2318
CITIZENS & NORTHERN BK/CITIZENS & NORTHERN CORP ,387,SNM,2317
FIRST FARMERS B&TC/FIRST FARMERS FC ,388,SMB,2313
LAKESIDE BK/LAKESIDE BC ,389,SNM,2302
UNITED BUS BK/BAYCOM CORP ,390,SMB,2287
VILLAGE B&TC NA/WINTRUST FC ,391,NAT,2283
COUNTRY CLUB BK/CCB FNCL CORP ,392,SMB,2277
PEOPLES BK A CODORUS VALLEY CO/CODORUS VALLEY BC ,393,SNM,2275
FIRST FL INTEGRITY BK/TGR FNCL ,394,SMB,2272
CB&S BK/CBS BANC CORP ,395,SNM,2247
INTERAUDI BK/ ,396,SNM,2242
BANKWELL BK/BANKWELL FNCL GRP ,397,SNM,2241
PROFESSIONAL BK/PROFESSIONAL HOLD CORP ,398,SMB,2234
FIRST WESTERN TR BK/FIRST WESTERN FNCL ,399,SNM,2205
CENTRAL VALLEY CMNTY BK/CENTRAL VALLEY CMNTY BC ,400,SNM,2200
BRADESCO BAC FL BK/LECCE HOLDS SA ,401,SNM,2160
METRO CITY BK/METROCITY BSHRS ,402,SNM,2159
SOUTHEAST BK/EDUCATION LOAN FNC ,403,SNM,2151
FIVE STAR BK/FIVE STAR BC ,404,SNM,2150
COMMUNITY BK OF THE CHESAPEAKE/COMMUNITY FC ,405,SNM,2148
SUNWEST BK/H BC LLC ,406,SNM,2148
TRADITIONAL BK/TRADITIONAL BC ,407,SNM,2140
CITIZENS & FARMERS BK/C&F FC ,408,SNM,2137
NORTHWEST BK/NORTHWEST FC ,409,SNM,2135
EVANS BK NA/EVANS BC ,410,NAT,2129
CASHMERE VALLEY BK/ ,411,SNM,2120
QUAD CITY B&TC/QCR HOLDS ,412,SMB,2107
PARKE BK/PARKE BC ,413,SNM,2103
AMERICAN FNB/AFNB HOLD ,414,NAT,2101
BANK INDEP/BANCINDEPENDENT ,415,SMB,2100
MONTECITO B&T/MONTECITO BC ,416,SNM,2096
FIRST CITIZENS NB/FIRST CITIZENS BSHRS ,417,NAT,2081
CHOICEONE BK/CHOICEONE FS ,418,SMB,2067
BTH BK NA/BT HOLD ,419,NAT,2060
RIVER B&T/RIVER FC ,420,SNM,2059
CAPITAL BANK NA/CAPITAL BC ,421,NAT,2057
OLD PLANK TRAIL CMNTY BK NA/WINTRUST FC ,422,NAT,2057
PACIFIC CITY BK/PCB BC ,423,SNM,2051
GATEWAY FIRST BK/ ,424,SNM,2049
UNITED BK/UNITED BC ,425,SNM,2048
BANK OF UT/BOU BC ,426,SMB,2045
SHORE UNITED BK/SHORE BSHRS ,427,SMB,2039
LIBERTYVILLE B&TC NA/WINTRUST FC ,428,NAT,2034
